Xr,Yr,Zr,KFx,KFy,KFz
-11.330213,1.002087,1.38325,-10.4597686572,0.384469960335,1.3701434341
-12.007072,1.002087,1.362557,-11.0809210304,0.211492149077,1.29995969563
-12.774507,1.002087,1.347397,-11.7390253357,0.0554309587126,1.23021955885
-13.35921,1.002087,1.309959,-12.3759677501,-0.0506069953036,1.19419176855
-13.793263,1.002087,1.185898,-12.9712670225,-0.11007413597,1.17683433547
-14.699655,1.002087,0.907466,-13.6762646086,-0.214582593676,1.06845898095
-15.320548,1.002087,0.641607,-14.3846518984,-0.298111173529,0.942594082436
-15.716908,1.002087,0.425524,-15.0214872251,-0.32331246526,0.843101265963
-16.916569,1.002087,-0.109829,-15.8738806199,-0.47292048101,0.555301048028
-17.515881,1.002087,-0.287904,-16.6470388394,-0.531517765815,0.339600519398
-18.120697,1.002087,-0.4662,-17.3848980922,-0.546410666048,0.152340336569
-18.728289,1.002087,-0.638914,-18.0738413452,-0.514319689032,0.0103340368756
-19.166424,1.002087,-0.747406,-18.6904284237,-0.419335187884,-0.0766056386876
-20.130867,1.002087,-0.984032,-19.4215732633,-0.39556775572,-0.247387507555
-20.883253,1.002087,-1.132034,-20.1695785191,-0.370713671723,-0.42168143056
-21.467001,1.002087,-1.193639,-20.8756255859,-0.307069071383,-0.55174240392
-22.0958,1.002087,-1.258637,-21.5660356745,-0.223843431271,-0.657225619557
-22.814428,1.002087,-1.332898,-22.2636851241,-0.135805208952,-0.753034734877
-23.396769,1.002087,-1.107872,-22.8961011789,0.0121526520572,-0.754557587478
-23.338476,1.002087,-0.939602,-23.3380856179,0.273778943676,-0.612935472758
-23.338476,1.002087,-0.939602,-23.6836258421,0.568986076807,-0.429037034222
-23.338476,1.002087,-0.939602,-23.9850317769,0.850424259324,-0.253412916354
-23.467897,1.002087,-0.779659,-24.2608175371,1.11749649092,-0.0691718973037
-24.114595,1.002087,-0.773553,-24.6931874744,1.24401024854,-0.0181018772818
-24.688728,1.002087,-0.768541,-25.2121489256,1.29453802384,-0.0409341990919
-25.4076,1.002087,-0.762268,-25.8161502689,1.27938329855,-0.122174849318
-26.129379,1.002087,-0.75597,-26.4851432451,1.22078551763,-0.24210380268
-26.806061,1.002087,-0.73291,-27.1583451819,1.17277660154,-0.343731009134
-27.301823,1.002087,-0.702829,-27.7932259979,1.15879259936,-0.408152951549
-28.113071,1.002087,-0.653272,-28.4681785686,1.13139444,-0.478523419627
-28.834192,1.002087,-0.609323,-29.1449389991,1.11258100343,-0.530376909602
-29.194757,1.002087,-0.587487,-29.7296761568,1.16865328449,-0.50926924057
-30.096178,1.002087,-0.533007,-30.3861808641,1.18451606492,-0.519742135858
-30.862379,1.002087,-0.486402,-31.0649316408,1.19569173015,-0.529266164316
-31.538437,1.002087,-0.445071,-31.741388141,1.21400341166,-0.525201204554
-32.034622,1.002087,-0.42435,-32.3678344896,1.27316265965,-0.475856350091
-32.531281,1.002087,-0.419367,-32.9734426226,1.34532341483,-0.413920165695
-33.524597,1.002087,-0.410688,-33.6969782707,1.33599089741,-0.434986896287
-34.247009,1.002087,-0.404384,-34.4203619461,1.3331890639,-0.446307803463
-34.969421,1.002087,-0.398079,-35.1548572698,1.32913129849,-0.460033419025
-35.601532,1.002087,-0.392545,-35.8780923188,1.33456839017,-0.463128263897
-35.917583,1.002087,-0.388288,-36.5018801606,1.40906180518,-0.395264661404
-37.54158,1.002087,-0.318061,-37.3773073678,1.32022672172,-0.48507802847
-38.308365,1.002087,-0.281901,-38.2245661761,1.26471430156,-0.535851911213
-38.939835,1.002087,-0.252123,-39.003524193,1.27286069699,-0.525064768854
-39.356457,1.254446,-0.214212,-39.6502714908,1.41412194694,-0.398964921194
-39.442368,1.315641,-0.203697,-40.1768842298,1.62996886215,-0.198889072195
-40.013535,1.722492,-0.128656,-40.6702189147,1.90700697193,0.0341030305273
-40.575523,2.122802,-0.083553,-41.1566353727,2.21135556224,0.268521969329
-40.887161,2.344785,-0.131143,-41.6394950497,2.5073034972,0.478189704565
-41.124905,2.514133,-0.175393,-42.114536988,2.78885377446,0.659152743285
-41.463688,2.755452,-0.238773,-42.6012000326,3.04949865861,0.800847545208
-41.763599,2.969081,-0.286912,-43.0816617551,3.30480729341,0.923075684826
-41.923565,3.083027,-0.312344,-43.5475681398,3.54501305438,1.02468875299
-42.083591,3.197018,-0.336841,-43.9899741836,3.77935115209,1.11885926366
-42.906494,3.78318,-0.379987,-44.5009452595,4.00378701868,1.16225110589
-43.14666,3.954252,-0.352749,-44.9757241071,4.24730941738,1.22213153756
-43.544777,4.237835,-0.267024,-45.4199579657,4.51990806505,1.30798342987
-43.8638,4.465081,-0.200298,-45.8442886573,4.80528753751,1.40272140137
-44.143589,4.664378,-0.151884,-46.2581929336,5.08654109197,1.49357559293
-44.243515,4.735557,-0.13489,-46.6398004341,5.36674870673,1.58728789159
-44.703339,5.063092,-0.059312,-47.0366865662,5.64623406318,1.67139152451
-45.365391,5.534681,0.000817,-47.4646374034,5.92883096848,1.74057119306
-45.566223,5.677735,0.008774,-47.8806278441,6.20081718102,1.80102397398
-45.947849,5.949571,0.014374,-48.2974994163,6.47231324103,1.85283612148
-46.108555,6.064046,0.015073,-48.6878976654,6.74499210032,1.90906634031
-46.26926,6.178518,0.014859,-49.061485765,7.00751421517,1.95921776268
-46.650936,6.450389,0.013222,-49.440452432,7.26659731426,1.9970367029
-47.137585,6.797036,-0.032541,-49.8491408941,7.51270528067,2.00450500322
-47.428452,7.004223,-0.118052,-50.2551331764,7.75238431571,1.99811629493
-47.703667,7.200263,-0.153536,-50.6504074091,7.9929927998,1.99089272849
-48.002144,7.3205,-0.181299,-51.0455588417,8.22124339165,1.97223513257
-48.44833,7.326688,-0.201833,-51.4905835087,8.38741254094,1.9019166921
-49.069454,7.326688,-0.32959,-52.0266991411,8.46570922724,1.74801259416
-49.677402,7.326688,-0.41209,-52.6050504476,8.50178758434,1.55774964141
-50.834099,7.326688,-0.45972,-53.3300610269,8.4275647594,1.26513017622
-53.269051,7.326688,-0.359798,-54.4238477776,8.10058742057,0.736804978502
-54.306263,7.326688,-0.307006,-55.4274868223,7.88493379711,0.334195920666
-55.072842,7.326688,-0.266686,-56.2970915021,7.80783864387,0.0817404047253
-55.163002,7.326688,-0.261566,-56.9309076905,7.92664571103,0.0345443792839
-56.466763,7.326688,-0.14226,-57.6569381916,7.99121152039,-0.0523664045953
-57.219181,7.326688,0.000337,-58.3310521395,8.10838388602,-0.0692179773372
-58.123211,7.326688,0.226458,-59.0103572352,8.23046237501,-0.0579934892894
-58.595669,7.326688,0.341884,-59.6161672714,8.41334611874,0.0249409596299
-59.339191,7.326688,0.650279,-60.2131593259,8.60373705898,0.139785892645
-60.004116,7.326688,0.555382,-60.8741524589,8.72693718044,0.186347228896
-60.490601,7.326688,0.228952,-61.5814586782,8.78818140279,0.156749200048
-61.051178,7.326688,-0.150635,-62.342113149,8.78773059899,0.0483877460832
-61.585152,7.326688,-0.348683,-63.0868971701,8.79128859108,-0.0619299100426
-63.007614,7.326688,-0.095953,-63.9425862603,8.72728865622,-0.219659922403
