Xr,Yr,Zr,KFx,KFy,KFz,DRx,DRy,DRz
-8.844305,1.002087,-0.65868,-8.613094189,1.051456479,-1.1795538,-7.951759398,1.006595225,-1.724505587
-8.524838,1.002087,-0.572833,-8.650838469,1.170570387,-0.814844316,-8.155802491,1.004913378,-1.434274229
-8.01609,1.002087,-0.456872,-8.536662149,1.32083164,-0.430325913,-8.220292918,1.003872512,-1.184491666
-7.38838,1.002087,-0.307377,-8.274742183,1.486139223,-0.04304223,-8.156987421,1.003350755,-1.009189925
-7.086236,1.002087,-0.230596,-8.032148808,1.58619912,0.263748603,-8.129260028,1.002952648,-0.856770486
-7.086236,1.002087,-0.230596,-7.905354859,1.58362704,0.436269498,-8.038359892,1.002637945,-0.710237447
-7.019796,1.002087,-0.132241,-7.819391174,1.538351817,0.556219336,-7.830783589,1.002439648,-0.547536142
-7.539274,1.002087,0.042603,-7.929547087,1.398387864,0.58741783,-7.823525598,1.002306404,-0.390918975
-8.054072,1.002087,0.267199,-8.152772882,1.232304817,0.601913283,-7.791252563,1.002233806,-0.261291394
-8.097117,1.002087,0.277773,-8.352726431,1.085033574,0.612943463,-7.646985038,1.002180301,-0.198915923
-8.097117,1.002087,0.277773,-8.504370998,0.973857804,0.640644953,-7.64964611,1.002148585,-0.111576462
-8.319438,1.002087,0.393695,-8.663035249,0.886603143,0.685578078,-7.793693951,1.002128911,0.015259515
-8.316904,1.002087,0.568143,-8.744886455,0.870457321,0.806688069,-7.851057808,1.00211488,0.142684551
-8.346064,1.002087,1.07624,-8.741574022,0.928973197,1.063277587,-7.9716379,1.002104334,0.383624313
-8.454289,1.002087,1.256424,-8.752605455,0.979097117,1.31565496,-8.098552201,1.002098051,0.457840814
-8.857805,1.002087,1.438641,-8.870009063,0.97399489,1.511729649,-8.298077801,1.002094312,0.602049984
-10.025999,1.002087,1.459457,-9.331342646,0.783738674,1.499753734,-8.720222776,1.00209191,0.723052403
-10.699638,1.002087,1.419813,-9.868581158,0.58403773,1.448157313,-8.87768521,1.002090488,0.838638141
-11.330213,1.002087,1.38325,-10.45976866,0.38446996,1.370143434,-9.212827095,1.002089395,0.979134145
-12.007072,1.002087,1.362557,-11.08092103,0.211492149,1.299959696,-9.763891214,1.002088473,1.12470602
-12.774507,1.002087,1.347397,-11.73902534,0.055430959,1.230219559,-10.28607764,1.002087978,1.205134082
-13.35921,1.002087,1.309959,-12.37596775,-0.050606995,1.194191769,-10.76409871,1.00208767,1.245052241
-13.793263,1.002087,1.185898,-12.97126702,-0.110074136,1.176834335,-11.34532117,1.002087433,1.242487629
-14.699655,1.002087,0.907466,-13.67626461,-0.214582594,1.068458981,-12.15998497,1.002087266,1.179872304
-15.320548,1.002087,0.641607,-14.3846519,-0.298111174,0.942594082,-12.71321458,1.002087171,1.121248369
-15.716908,1.002087,0.425524,-15.02148723,-0.323312465,0.843101266,-13.20580628,1.002087114,1.04721231
-16.916569,1.002087,-0.109829,-15.87388062,-0.472920481,0.555301048,-14.05761995,1.002087076,0.811946288
-17.515881,1.002087,-0.287904,-16.64703884,-0.531517766,0.339600519,-14.61230175,1.00208705,0.706652242
-18.120697,1.002087,-0.4662,-17.38489809,-0.546410666,0.152340337,-15.30981618,1.002087031,0.49862718
-18.728289,1.002087,-0.638914,-18.07384135,-0.514319689,0.010334037,-15.98140277,1.00208702,0.281198177
-19.166424,1.002087,-0.747406,-18.69042842,-0.419335188,-0.076605639,-16.55338267,1.002087014,0.094924351
-20.130867,1.002087,-0.984032,-19.42157326,-0.395567756,-0.247387508,-17.35215791,1.002087009,-0.148973154
-20.883253,1.002087,-1.132034,-20.16957852,-0.370713672,-0.421681431,-17.91751213,1.002087006,-0.310591411
-21.467001,1.002087,-1.193639,-20.87562559,-0.307069071,-0.551742404,-18.54523399,1.002087004,-0.47360479
-22.0958,1.002087,-1.258637,-21.56603567,-0.223843431,-0.65722562,-19.38060652,1.002087003,-0.68423517
-22.814428,1.002087,-1.332898,-22.26368512,-0.135805209,-0.753034735,-20.17636555,1.002087002,-0.862607229
-23.396769,1.002087,-1.107872,-22.89610118,0.012152652,-0.754557587,-20.77185267,1.002087001,-0.883455804
-23.338476,1.002087,-0.939602,-23.33808562,0.273778944,-0.612935473,-21.13558123,1.002087001,-0.941809234
-23.338476,1.002087,-0.939602,-23.68362584,0.568986077,-0.429037034,-21.57990559,1.002087,-1.01712639
-23.338476,1.002087,-0.939602,-23.98503178,0.850424259,-0.253412916,-22.08383414,1.002087,-1.031016316
-23.467897,1.002087,-0.779659,-24.26081754,1.117496491,-0.069171897,-22.5685189,1.002087,-0.961670337
-24.114595,1.002087,-0.773553,-24.69318747,1.244010249,-0.018101877,-23.03977385,1.002087,-0.965097742
-24.688728,1.002087,-0.768541,-25.21214893,1.294538024,-0.040934199,-23.34115341,1.002087,-0.937297204
-25.4076,1.002087,-0.762268,-25.81615027,1.279383299,-0.122174849,-23.72563143,1.002087,-0.897513526
-26.129379,1.002087,-0.75597,-26.48514325,1.220785518,-0.242103803,-24.0700421,1.002087,-0.86868798
-26.806061,1.002087,-0.73291,-27.15834518,1.172776602,-0.343731009,-24.54989652,1.002087,-0.83068228
-27.301823,1.002087,-0.702829,-27.793226,1.158792599,-0.408152952,-25.05468145,1.002087,-0.797008714
-28.113071,1.002087,-0.653272,-28.46817857,1.13139444,-0.47852342,-25.6548777,1.002087,-0.765394193
-28.834192,1.002087,-0.609323,-29.144939,1.112581003,-0.53037691,-26.18954148,1.002087,-0.740031589
-29.194757,1.002087,-0.587487,-29.72967616,1.168653284,-0.509269241,-26.63251271,1.002087,-0.719947565
-30.096178,1.002087,-0.533007,-30.38618086,1.184516065,-0.519742136,-27.46418488,1.002087,-0.676490702
-30.862379,1.002087,-0.486402,-31.06493164,1.19569173,-0.529266164,-28.1779916,1.002087,-0.638582208
-31.538437,1.002087,-0.445071,-31.74138814,1.214003412,-0.525201205,-28.66399779,1.002087,-0.611683674
-32.034622,1.002087,-0.42435,-32.36783449,1.27316266,-0.47585635,-29.39445765,1.002087,-0.573611243
-32.531281,1.002087,-0.419367,-32.97344262,1.345323415,-0.413920166,-30.07051933,1.002087,-0.542059535
-33.524597,1.002087,-0.410688,-33.69697827,1.335990897,-0.434986896,-30.89261753,1.002087,-0.509107139
-34.247009,1.002087,-0.404384,-34.42036195,1.333189064,-0.446307803,-31.46882468,1.002087,-0.484300327
-34.969421,1.002087,-0.398079,-35.15485727,1.329131298,-0.460033419,-32.14786272,1.002087,-0.461528643
-35.601532,1.002087,-0.392545,-35.87809232,1.33456839,-0.463128264,-32.72824174,1.002087,-0.445792863
-35.917583,1.002087,-0.388288,-36.50188016,1.409061805,-0.395264661,-33.27589703,1.002087,-0.432252009
-37.54158,1.002087,-0.318061,-37.37730737,1.320226722,-0.485078028,-34.32476446,1.002087,-0.39782878
-38.308365,1.002087,-0.281901,-38.22456618,1.264714302,-0.535851911,-34.83600643,1.002087,-0.386495919
-38.939835,1.002087,-0.252123,-39.00352419,1.272860697,-0.525064769,-35.69062101,1.002087,-0.363961805
-39.356457,1.254446,-0.214212,-39.65027149,1.414121947,-0.398964921,-36.3843539,1.090793742,-0.336886001
-39.442368,1.315641,-0.203697,-40.17688423,1.629968862,-0.198889072,-36.87227431,1.079160156,-0.321506724
-40.013535,1.722492,-0.128656,-40.67021891,1.907006972,0.034103031,-37.73737255,1.240276837,-0.269990628
-40.575523,2.122802,-0.083553,-41.15663537,2.211355562,0.268521969,-38.36137227,1.365092659,-0.24201619
-40.887161,2.344785,-0.131143,-41.63949505,2.507303497,0.478189705,-38.82563669,1.460933469,-0.240575446
-41.124905,2.514133,-0.175393,-42.11453699,2.788853774,0.659152743,-39.30584209,1.62127836,-0.219865266
-41.463688,2.755452,-0.238773,-42.60120003,3.049498659,0.800847545,-39.82846868,1.857140047,-0.210390619
-41.763599,2.969081,-0.286912,-43.08166176,3.304807293,0.923075685,-40.27001702,2.07851458,-0.205603018
-41.923565,3.083027,-0.312344,-43.54756814,3.545013054,1.024688753,-40.60149308,2.256089163,-0.208468465
-42.083591,3.197018,-0.336841,-43.98997418,3.779351152,1.118859264,-40.91769071,2.443655737,-0.22502762
-42.906494,3.78318,-0.379987,-44.50094526,4.003787019,1.162251106,-41.40587606,2.769086317,-0.252010369
-43.14666,3.954252,-0.352749,-44.97572411,4.247309417,1.222131538,-41.62433255,2.906943478,-0.258728332
-43.544777,4.237835,-0.267024,-45.41995797,4.519908065,1.30798343,-41.98600859,3.152826064,-0.255128498
-43.8638,4.465081,-0.200298,-45.84428866,4.805287538,1.402721401,-42.36549572,3.414150728,-0.265131366
-44.143589,4.664378,-0.151884,-46.25819293,5.086541092,1.493575593,-42.76664413,3.693425041,-0.265321986
-44.243515,4.735557,-0.13489,-46.63980043,5.366748707,1.587287892,-43.04305357,3.886684873,-0.259410802
-44.703339,5.063092,-0.059312,-47.03668657,5.646234063,1.671391525,-43.45821436,4.180140161,-0.216856253
-45.365391,5.534681,0.000817,-47.4646374,5.928830968,1.740571193,-43.88896033,4.485454931,-0.180825313
-45.566223,5.677735,0.008774,-47.88062784,6.200817181,1.801023974,-44.05285808,4.601459018,-0.165003534
-45.947849,5.949571,0.014374,-48.29749942,6.472313241,1.852836121,-44.49270402,4.914105079,-0.123057293
-46.108555,6.064046,0.015073,-48.68789767,6.7449921,1.90906634,-44.77004772,5.111294928,-0.091523274
-46.26926,6.178518,0.014859,-49.06148577,7.007514215,1.959217763,-45.02967073,5.296025492,-0.068470253
-46.650936,6.450389,0.013222,-49.44045243,7.266597314,1.997036703,-45.38320801,5.547711294,-0.048369172
-47.137585,6.797036,-0.032541,-49.84914089,7.512705281,2.004505003,-45.74173255,5.802989009,-0.046704038
-47.428452,7.004223,-0.118052,-50.25513318,7.752384316,1.998116295,-46.09806643,6.056714044,-0.053872708
