Xr,Yr,Zr,Qtx,Qty,Qtz
-45.566223,5.677735,0.008774,-44.0528580774,4.6014590181,-0.16500353388
-45.947849,5.949571,0.014374,-44.4927040232,4.9141050793,-0.123057293407
-46.108555,6.064046,0.015073,-44.770047715,5.11129492756,-0.091523274231
-46.26926,6.178518,0.014859,-45.0296707313,5.29602549197,-0.0684702530399
-46.650936,6.450389,0.013222,-45.3832080075,5.54771129446,-0.0483691721664
-47.137585,6.797036,-0.032541,-45.7417325501,5.80298900872,-0.0467040384217
-47.428452,7.004223,-0.118052,-46.0980664307,6.05671404402,-0.0538727075564
-47.703667,7.200263,-0.153536,-46.3815658854,6.25860656936,-0.0489390020381
-48.002144,7.3205,-0.181299,-46.6781106583,6.43780616086,-0.0599662643924
-48.44833,7.326688,-0.201833,-47.0941312302,6.6367524091,-0.0845066459329
-49.069454,7.326688,-0.32959,-47.486224342,6.79639110274,-0.146556171195
-49.677402,7.326688,-0.41209,-47.835577642,6.92201853363,-0.177914491783
-50.834099,7.326688,-0.45972,-48.4620252428,7.03898571048,-0.216299038082
-53.269051,7.326688,-0.359798,-49.5418891027,7.13499638888,-0.221861784774
-54.306263,7.326688,-0.307006,-49.9573738076,7.193228988,-0.258100176219
-55.072842,7.326688,-0.266686,-50.6946423432,7.23496383962,-0.283447940482
-55.163002,7.326688,-0.261566,-51.5726301797,7.26921624287,-0.304080347
-56.466763,7.326688,-0.14226,-52.7894117068,7.28854793136,-0.264971233181
-57.219181,7.326688,0.000337,-53.6007250357,7.30141643331,-0.224447016478
-58.123211,7.326688,0.226458,-54.5377755748,7.31023626884,-0.14514468003
-58.595669,7.326688,0.341884,-55.1534679319,7.31507100452,-0.106594435213
-59.339191,7.326688,0.650279,-56.1222783368,7.31913370546,0.0567489986746
-60.004116,7.326688,0.555382,-56.9679004314,7.3218473104,0.0685745801157
-60.490601,7.326688,0.228952,-57.5908260368,7.32336006474,0.0547578791733
-61.051178,7.326688,-0.150635,-58.2934050056,7.3244219984,0.0627842468801
-61.585152,7.326688,-0.348683,-59.1231124526,7.32533348338,0.106581346239
-63.007614,7.326688,-0.095953,-60.060478013,7.32582433296,0.212680195883
-64.206375,7.326688,0.12622,-60.7170421815,7.32610587422,0.196954586831
-65.094284,7.326688,0.290793,-61.4762851759,7.32632327808,0.149329325869
-65.623459,7.326688,0.405583,-62.2623933643,7.32646971,0.135602404709
-66.370918,7.326688,0.723781,-62.9336821097,7.3265346125,0.234713165435
-66.946617,7.326688,0.984936,-63.6774191558,7.32658356806,0.326667374462
-67.527466,7.326688,1.33163,-64.4832240008,7.32661857861,0.495115576075
-68.088867,7.326688,1.710312,-65.3641401623,7.32664582824,0.721871233847
-68.547485,7.326688,2.144844,-65.9440045958,7.32665930952,0.941000069235
-68.982964,7.326688,2.710826,-66.677326129,7.32667054369,1.29947942037
-69.276367,7.326688,3.268336,-67.2505067749,7.32667726866,1.64478773349
-69.401894,7.326688,3.508089,-67.6833244181,7.32668110441,1.89113719231
-69.905205,7.326688,4.44883,-68.2119773323,7.32668339999,2.45553348316
-70.220032,7.326688,5.041568,-68.6872629194,7.3266852914,2.92825565886
-70.418831,7.326688,5.445596,-69.0348963339,7.32668632822,3.33713636933
-70.665215,7.326688,6.219374,-69.3629205726,7.32668690494,3.90250298019
-70.812325,7.326688,7.663623,-69.6299744502,7.32668725859,4.6684556371
-70.712639,7.326688,8.942077,-69.8628275972,7.32668753293,5.41727296742
-70.718445,7.326688,9.16205,-70.0860950622,7.32668768373,5.78268209131
-71.064888,7.326688,9.914005,-70.3971594345,7.32668779392,6.68759355772
-71.560806,7.326688,10.6576,-70.6579593892,7.32668786324,7.48805243148
-71.94339,7.326688,11.215268,-70.860350106,7.32668791233,8.25150794893
-72.257477,7.326688,11.813543,-71.0457682578,7.32668793885,8.8924090928
-72.558083,7.326688,12.470382,-71.3050847185,7.32668795858,9.6212723494
-72.831535,7.326688,13.040319,-71.6580472105,7.32668797576,10.4735887926
-73.09404,7.326688,13.565138,-71.9483153956,7.32668798512,11.1278436349
-73.499016,7.326688,14.216331,-72.2499566995,7.32668799014,11.7190417326
-73.725105,7.326688,14.854436,-72.5230832752,7.3266879939,12.3876581113
-73.930084,7.326688,15.499995,-72.7688526524,7.32668799593,12.9479825975
-74.134926,7.326688,16.145605,-73.0915823591,7.32668799755,13.6564130511
-74.338936,7.326688,16.838617,-73.355493215,7.32668799846,14.2840572022
-74.425903,7.326688,17.418438,-73.5351443051,7.32668799896,14.801704611
-74.493118,7.326688,18.13777,-73.7258779753,7.32668799929,15.4268738388
-74.59848,7.326688,18.767651,-73.9083245081,7.3266879995,15.9831511928
-74.712723,7.326688,18.992838,-74.1390880617,7.3266879997,16.6674154363
